,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,Duration,B365W,B365L,WServeRating,WAces,WDoubleFaults,W1stServe,W1stServePointsWon,W2ndServePointsWon,WServicePointsWon,WReturnRating,W1stServeReturnPointsWon,W2ndServeReturnPointsWon,WReturnPointsWon,LServeRating,LAces,LDoubleFaults,L1stServe,L1stServePointsWon,L2ndServePointsWon,LServicePointsWon,LReturnRating,L1stServeReturnPointsWon,L2ndServeReturnPointsWon,LReturnPointsWon
197,Australian Open,1/20/2019,Grand Slam,Outdoor,Hard,4th Round,5,Stefanos Tsitsipas,Roger Federer,15,3,6,7,7,6,7,5,7,6,,,3,1,Completed,,5.49,1.16,,,,,,,,,,,,,,,,,,,,,,
198,Australian Open,1/20/2019,Grand Slam,Outdoor,Hard,4th Round,5,Roberto Bautista Agut,Marin Cilic,24,7,6,7,6,3,6,2,4,6,6,4,3,2,Completed,,2.16,1.73,,,,,,,,,,,,,,,,,,,,,,
199,Australian Open,1/20/2019,Grand Slam,Outdoor,Hard,4th Round,5,Frances Tiafoe,Grigor Dimitrov,39,21,7,5,7,6,6,7,7,5,,,3,1,Completed,,3.07,1.40,,,,,,,,,,,,,,,,,,,,,,
200,Australian Open,1/19/2019,Grand Slam,Outdoor,Hard,3rd Round,5,Novak Djokovic,Denis Shapovalov,1,27,6,3,6,4,4,6,6,0,,,3,1,Completed,,1.05,11.99,,,,,,,,,,,,,,,,,,,,,,
201,Australian Open,1/19/2019,Grand Slam,Outdoor,Hard,3rd Round,5,Alexander Zverev,Alex Bolt,4,155,6,3,6,3,6,2,,,,,3,0,Completed,,1.06,11.12,,,,,,,,,,,,,,,,,,,,,,
202,Australian Open,1/19/2019,Grand Slam,Outdoor,Hard,3rd Round,5,Kei Nishikori,Joao Sousa,9,44,7,6,6,1,6,2,,,,,3,0,Completed,,1.15,5.77,,,,,,,,,,,,,,,,,,,,,,
203,Australian Open,1/19/2019,Grand Slam,Outdoor,Hard,3rd Round,5,Borna Coric,Filip Krajinovic,12,93,2,6,6,3,6,4,6,3,,,3,1,Completed,,1.16,5.61,,,,,,,,,,,,,,,,,,,,,,
204,Australian Open,1/19/2019,Grand Slam,Outdoor,Hard,3rd Round,5,Pablo Carreno Busta,Fabio Fognini,23,13,6,2,6,4,2,6,6,4,,,3,1,Completed,,2.10,1.77,,,,,,,,,,,,,,,,,,,,,,
205,Australian Open,1/19/2019,Grand Slam,Outdoor,Hard,3rd Round,5,Daniil Medvedev,David Goffin,19,22,6,2,7,6,6,3,,,,,3,0,Completed,,1.60,2.39,,,,,,,,,,,,,,,,,,,,,,
206,Australian Open,1/19/2019,Grand Slam,Outdoor,Hard,3rd Round,5,Milos Raonic,Pierre-Hugues Herbert,17,55,6,4,6,4,7,6,,,,,3,0,Completed,,1.17,5.41,,,,,,,,,,,,,,,,,,,,,,
207,Australian Open,1/19/2019,Grand Slam,Outdoor,Hard,3rd Round,5,Lucas Pouille,Alexei Popyrin,31,149,7,6,6,3,6,7,4,6,6,3,3,2,Completed,,1.49,2.69,,,,,,,,,,,,,,,,,,,,,,
208,Australian Open,1/18/2019,Grand Slam,Outdoor,Hard,3rd Round,5,Rafael Nadal,Alex de Minaur,2,29,6,1,6,2,6,4,,,,,3,0,Completed,,1.11,7.27,,,,,,,,,,,,,,,,,,,,,,
209,Australian Open,1/18/2019,Grand Slam,Outdoor,Hard,3rd Round,5,Roger Federer,Taylor Fritz,3,50,6,2,7,5,6,2,,,,,3,0,Completed,,1.06,10.71,,,,,,,,,,,,,,,,,,,,,,
210,Australian Open,1/18/2019,Grand Slam,Outdoor,Hard,3rd Round,5,Marin Cilic,Fernando Verdasco,7,28,4,6,3,6,6,1,7,6,6,3,3,2,Completed,,1.30,3.69,,,,,,,,,,,,,,,,,,,,,,
211,Australian Open,1/18/2019,Grand Slam,Outdoor,Hard,3rd Round,5,Roberto Bautista Agut,Karen Khachanov,24,11,6,4,7,5,6,4,,,,,3,0,Completed,,2.65,1.51,,,,,,,,,,,,,,,,,,,,,,
212,Australian Open,1/18/2019,Grand Slam,Outdoor,Hard,3rd Round,5,Stefanos Tsitsipas,Nikoloz Basilashvili,15,20,6,3,3,6,7,6,6,4,,,3,1,Completed,,1.36,3.30,,,,,,,,,,,,,,,,,,,,,,
213,Australian Open,1/18/2019,Grand Slam,Outdoor,Hard,3rd Round,5,Tomas Berdych,Diego Schwartzman,57,16,5,7,6,3,7,5,6,4,,,3,1,Completed,,1.26,4.08,,,,,,,,,,,,,,,,,,,,,,
214,Australian Open,1/18/2019,Grand Slam,Outdoor,Hard,3rd Round,5,Grigor Dimitrov,Thomas Fabbiano,21,102,7,6,6,4,6,4,,,,,3,0,Completed,,1.07,9.43,,,,,,,,,,,,,,,,,,,,,,
215,Australian Open,1/18/2019,Grand Slam,Outdoor,Hard,3rd Round,5,Frances Tiafoe,Andreas Seppi,39,35,6,7,6,3,4,6,6,4,6,3,3,2,Completed,,2.05,1.81,,,,,,,,,,,,,,,,,,,,,,
216,Australian Open,1/17/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Novak Djokovic,Jo-Wilfried Tsonga,1,177,6,3,7,5,6,4,,,,,3,0,Completed,,1.07,9.62,,,,,,,,,,,,,,,,,,,,,,
217,Australian Open,1/17/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Alexander Zverev,Jeremy Chardy,4,36,7,6,6,4,5,7,6,7,6,1,3,2,Completed,,1.12,6.77,,,,,,,,,,,,,,,,,,,,,,
218,Australian Open,1/17/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Alexei Popyrin,Dominic Thiem,149,8,7,5,6,4,2,0,,,,,2,0,Retired,,5.07,1.18,,,,,,,,,,,,,,,,,,,,,,
219,Australian Open,1/17/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Kei Nishikori,Ivo Karlovic,9,73,6,3,7,6,5,7,5,7,7,6,3,2,Completed,,1.17,5.21,,,,,,,,,,,,,,,,,,,,,,
220,Australian Open,1/17/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Borna Coric,Marton Fucsovics,12,38,6,4,6,3,6,4,,,,,3,0,Completed,,1.29,3.74,,,,,,,,,,,,,,,,,,,,,,
221,Australian Open,1/17/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Fabio Fognini,Leonardo Mayer,13,53,7,6,6,3,7,6,,,,,3,0,Completed,,1.59,2.41,,,,,,,,,,,,,,,,,,,,,,
222,Australian Open,1/17/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Daniil Medvedev,Ryan Harrison,19,83,6,3,6,3,6,3,,,,,3,0,Completed,,1.20,4.78,,,,,,,,,,,,,,,,,,,,,,
223,Australian Open,1/17/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Milos Raonic,Stan Wawrinka,17,59,6,7,7,6,7,6,7,6,,,3,1,Completed,,1.30,3.64,,,,,,,,,,,,,,,,,,,,,,
224,Australian Open,1/17/2019,Grand Slam,Outdoor,Hard,2nd Round,5,David Goffin,Marius Copil,22,60,5,7,7,5,6,4,6,4,,,3,1,Completed,,1.22,4.43,,,,,,,,,,,,,,,,,,,,,,
225,Australian Open,1/17/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Pablo Carreno Busta,Ilya Ivashka,23,84,6,2,6,3,7,6,,,,,3,0,Completed,,1.63,2.30,,,,,,,,,,,,,,,,,,,,,,
226,Australian Open,1/17/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Pierre-Hugues Herbert,Hyeon Chung,55,25,6,2,1,6,6,2,6,4,,,3,1,Completed,,2.28,1.65,,,,,,,,,,,,,,,,,,,,,,
227,Australian Open,1/17/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Denis Shapovalov,Taro Daniel,27,82,6,3,7,6,6,3,,,,,3,0,Completed,,1.15,5.68,,,,,,,,,,,,,,,,,,,,,,
228,Australian Open,1/17/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Lucas Pouille,Maximilian Marterer,31,71,7,6,7,6,5,7,6,4,,,3,1,Completed,,1.73,2.15,,,,,,,,,,,,,,,,,,,,,,
229,Australian Open,1/17/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Alex Bolt,Gilles Simon,155,30,2,6,6,4,4,6,7,6,6,4,3,2,Completed,,6.03,1.14,,,,,,,,,,,,,,,,,,,,,,
230,Australian Open,1/17/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Joao Sousa,Philipp Kohlschreiber,44,32,7,5,4,6,7,6,5,7,6,4,3,2,Completed,,2.97,1.41,,,,,,,,,,,,,,,,,,,,,,
231,Australian Open,1/17/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Filip Krajinovic,Evgeny Donskoy,93,96,6,4,7,6,7,6,,,,,3,0,Completed,,1.39,3.08,,,,,,,,,,,,,,,,,,,,,,
232,Australian Open,1/16/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Rafael Nadal,Matthew Ebden,2,48,6,3,6,2,6,2,,,,,3,0,Completed,,1.06,10.38,,,,,,,,,,,,,,,,,,,,,,
233,Australian Open,1/16/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Roger Federer,Daniel Evans,3,189,7,6,7,6,6,3,,,,,3,0,Completed,,1.02,16.17,,,,,,,,,,,,,,,,,,,,,,
234,Australian Open,1/16/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Frances Tiafoe,Kevin Anderson,39,6,4,6,6,4,6,4,7,5,,,3,1,Completed,,5.03,1.18,,,,,,,,,,,,,,,,,,,,,,
235,Australian Open,1/16/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Marin Cilic,Mackenzie McDonald,7,81,7,5,6,7,6,4,6,4,,,3,1,Completed,,1.10,7.36,,,,,,,,,,,,,,,,,,,,,,
236,Australian Open,1/16/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Karen Khachanov,Yoshihito Nishioka,11,69,6,3,6,3,6,3,,,,,3,0,Completed,,1.23,4.39,,,,,,,,,,,,,,,,,,,,,,
237,Australian Open,1/16/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Stefanos Tsitsipas,Viktor Troicki,15,200,6,3,2,6,6,2,7,5,,,3,1,Completed,,1.12,6.65,,,,,,,,,,,,,,,,,,,,,,
238,Australian Open,1/16/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Diego Schwartzman,Denis Kudla,16,62,6,4,7,5,3,6,6,7,6,4,3,2,Completed,,1.19,4.91,,,,,,,,,,,,,,,,,,,,,,
239,Australian Open,1/16/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Nikoloz Basilashvili,Stefano Travaglia,20,137,3,6,6,3,3,6,6,4,6,3,3,2,Completed,,1.29,3.73,,,,,,,,,,,,,,,,,,,,,,
240,Australian Open,1/16/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Grigor Dimitrov,Pablo Cuevas,21,94,6,3,6,7,6,3,7,5,,,3,1,Completed,,1.14,6.13,,,,,,,,,,,,,,,,,,,,,,
241,Australian Open,1/16/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Roberto Bautista Agut,John Millman,24,37,6,3,6,1,3,6,6,7,6,4,3,2,Completed,,1.32,3.48,,,,,,,,,,,,,,,,,,,,,,
242,Australian Open,1/16/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Fernando Verdasco,Radu Albot,28,98,6,1,7,6,6,3,,,,,3,0,Completed,,1.22,4.49,,,,,,,,,,,,,,,,,,,,,,
243,Australian Open,1/16/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Alex de Minaur,Henri Laaksonen,29,166,6,4,6,2,6,7,4,6,6,3,3,2,Completed,,1.05,11.29,,,,,,,,,,,,,,,,,,,,,,
244,Australian Open,1/16/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Taylor Fritz,Gael Monfils,50,33,6,3,6,7,7,6,7,6,,,3,1,Completed,,2.37,1.61,,,,,,,,,,,,,,,,,,,,,,
245,Australian Open,1/16/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Tomas Berdych,Robin Haase,57,58,6,1,6,3,6,3,,,,,3,0,Completed,,1.12,6.77,,,,,,,,,,,,,,,,,,,,,,
246,Australian Open,1/16/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Thomas Fabbiano,Reilly Opelka,102,97,6,7,6,2,6,4,3,6,7,6,3,2,Completed,,3.28,1.35,,,,,,,,,,,,,,,,,,,,,,
247,Australian Open,1/16/2019,Grand Slam,Outdoor,Hard,2nd Round,5,Andreas Seppi,Jordan Thompson,35,72,6,3,6,4,6,4,,,,,3,0,Completed,,1.70,2.18,,,,,,,,,,,,,,,,,,,,,,
248,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Novak Djokovic,Mitchell Krueger,1,230,6,3,6,2,6,2,,,,,3,0,Completed,,1.01,23.77,,,,,,,,,,,,,,,,,,,,,,
249,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Alexander Zverev,Aljaz Bedene,4,67,6,4,6,1,6,4,,,,,3,0,Completed,,1.12,6.70,,,,,,,,,,,,,,,,,,,,,,
250,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Dominic Thiem,Benoit Paire,8,61,6,4,6,3,5,7,1,6,6,3,3,2,Completed,,1.30,3.71,,,,,,,,,,,,,,,,,,,,,,
251,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Kei Nishikori,Kamil Majchrzak,9,176,3,6,6,7,6,0,6,2,3,0,2,2,Retired,,1.02,16.25,,,,,,,,,,,,,,,,,,,,,,
252,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Borna Coric,Steve Darcis,12,321,6,1,6,4,6,4,,,,,3,0,Completed,,1.16,5.43,,,,,,,,,,,,,,,,,,,,,,
253,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Fabio Fognini,Jaume Munar,13,79,7,6,7,6,3,1,,,,,2,0,Retired,,1.45,2.80,,,,,,,,,,,,,,,,,,,,,,
254,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Daniil Medvedev,Lloyd Harris,19,119,6,1,6,2,6,1,,,,,3,0,Completed,,1.18,5.09,,,,,,,,,,,,,,,,,,,,,,
255,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Milos Raonic,Nick Kyrgios,17,52,6,4,7,6,6,4,,,,,3,0,Completed,,1.78,2.08,,,,,,,,,,,,,,,,,,,,,,
256,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Filip Krajinovic,Marco Cecchinato,93,18,4,6,0,6,6,1,7,6,6,4,3,2,Completed,,1.65,2.30,,,,,,,,,,,,,,,,,,,,,,
257,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,David Goffin,Christian Garin,22,89,6,0,6,2,6,2,,,,,3,0,Completed,,1.18,5.21,,,,,,,,,,,,,,,,,,,,,,
258,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Pablo Carreno Busta,Luca Vanni,23,163,6,7,2,6,6,3,7,5,6,4,3,2,Completed,,1.28,3.78,,,,,,,,,,,,,,,,,,,,,,
259,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Hyeon Chung,Bradley Klahn,25,78,6,7,6,7,6,3,6,2,6,4,3,2,Completed,,1.53,2.54,,,,,,,,,,,,,,,,,,,,,,
260,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Denis Shapovalov,Pablo Andujar,27,85,6,2,6,3,7,6,,,,,3,0,Completed,,1.11,7.08,,,,,,,,,,,,,,,,,,,,,,
261,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Lucas Pouille,Mikhail Kukushkin,31,56,6,1,7,5,6,4,,,,,3,0,Completed,,1.61,2.37,,,,,,,,,,,,,,,,,,,,,,
262,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Gilles Simon,Bjorn Fratangelo,30,133,7,6,6,4,6,2,,,,,3,0,Completed,,1.25,4.11,,,,,,,,,,,,,,,,,,,,,,
263,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Philipp Kohlschreiber,Zhe Li,32,261,6,2,6,2,6,4,,,,,3,0,Completed,,1.04,12.94,,,,,,,,,,,,,,,,,,,,,,
264,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Alex Bolt,Jack Sock,155,105,4,6,6,3,6,2,6,2,,,3,1,Completed,,3.21,1.37,,,,,,,,,,,,,,,,,,,,,,
265,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Jeremy Chardy,Ugo Humbert,36,95,3,6,7,6,6,4,6,7,7,6,3,2,Completed,,1.59,2.39,,,,,,,,,,,,,,,,,,,,,,
266,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Marius Copil,Marcel Granollers,60,108,6,3,6,4,6,4,,,,,3,0,Completed,,1.62,2.35,,,,,,,,,,,,,,,,,,,,,,
267,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Taro Daniel,Thanasi Kokkinakis,82,144,5,7,4,2,,,,,,,0,1,Retired,,3.83,1.28,,,,,,,,,,,,,,,,,,,,,,
268,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Evgeny Donskoy,Laslo Djere,96,92,6,7,6,4,6,1,7,6,,,3,1,Completed,,2.04,1.81,,,,,,,,,,,,,,,,,,,,,,
269,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Marton Fucsovics,Albert Ramos-Vinolas,38,64,6,3,6,4,6,7,6,3,,,3,1,Completed,,1.21,4.72,,,,,,,,,,,,,,,,,,,,,,
270,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Ryan Harrison,Jiri Vesely,83,90,6,0,7,5,6,3,,,,,3,0,Completed,,1.60,2.39,,,,,,,,,,,,,,,,,,,,,,
271,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Pierre-Hugues Herbert,Sam Querrey,55,49,5,7,7,6,6,3,6,1,,,3,1,Completed,,2.70,1.49,,,,,,,,,,,,,,,,,,,,,,
272,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Ilya Ivashka,Malek Jaziri,84,43,4,6,7,6,6,1,4,0,,,2,1,Retired,,1.43,2.90,,,,,,,,,,,,,,,,,,,,,,
273,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Ivo Karlovic,Hubert Hurkacz,73,76,6,7,7,6,7,6,7,6,,,3,1,Completed,,1.79,2.06,,,,,,,,,,,,,,,,,,,,,,
274,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Maximilian Marterer,Gleb Sakharov,71,252,6,3,6,1,6,3,,,,,3,0,Completed,,1.31,3.54,,,,,,,,,,,,,,,,,,,,,,
275,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Leonardo Mayer,Nicolas Jarry,53,45,7,6,7,6,4,6,6,3,,,3,1,Completed,,1.81,2.04,,,,,,,,,,,,,,,,,,,,,,
276,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Alexei Popyrin,Mischa Zverev,149,70,7,5,7,6,6,4,,,,,3,0,Completed,,1.44,2.85,,,,,,,,,,,,,,,,,,,,,,
277,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Joao Sousa,Guido Pella,44,65,7,6,4,6,7,6,4,6,6,2,3,2,Completed,,1.76,2.09,,,,,,,,,,,,,,,,,,,,,,
278,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Jo-Wilfried Tsonga,Martin Klizan,177,40,6,4,6,4,7,6,,,,,3,0,Completed,,1.30,3.67,,,,,,,,,,,,,,,,,,,,,,
279,Australian Open,1/15/2019,Grand Slam,Outdoor,Hard,1st Round,5,Stan Wawrinka,Ernests Gulbis,59,86,3,6,3,1,,,,,,,0,1,Retired,,1.25,4.10,,,,,,,,,,,,,,,,,,,,,,
280,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Rafael Nadal,James Duckworth,2,237,6,4,6,3,7,5,,,,,3,0,Completed,,1.05,11.68,,,,,,,,,,,,,,,,,,,,,,
281,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Roger Federer,Denis Istomin,3,101,6,3,6,4,6,4,,,,,3,0,Completed,,1.03,15.67,,,,,,,,,,,,,,,,,,,,,,
282,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Kevin Anderson,Adrian Mannarino,6,42,6,3,5,7,6,2,6,1,,,3,1,Completed,,1.06,10.20,,,,,,,,,,,,,,,,,,,,,,
283,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Marin Cilic,Bernard Tomic,7,88,6,2,6,4,7,6,,,,,3,0,Completed,,1.26,3.98,,,,,,,,,,,,,,,,,,,,,,
284,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Reilly Opelka,John Isner,97,10,7,6,7,6,6,7,7,6,,,3,1,Completed,,2.75,1.47,,,,,,,,,,,,,,,,,,,,,,
285,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Karen Khachanov,Peter Gojowczyk,11,63,3,6,6,3,6,4,6,2,,,3,1,Completed,,1.10,7.31,,,,,,,,,,,,,,,,,,,,,,
286,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Tomas Berdych,Kyle Edmund,57,14,6,3,6,0,7,5,,,,,3,0,Completed,,1.43,2.90,,,,,,,,,,,,,,,,,,,,,,
287,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Stefanos Tsitsipas,Matteo Berrettini,15,54,6,7,6,4,6,3,7,6,,,3,1,Completed,,1.41,3.03,,,,,,,,,,,,,,,,,,,,,,
288,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Diego Schwartzman,Rudolf Molleker,16,206,6,1,6,3,4,6,6,0,,,3,1,Completed,,1.13,6.34,,,,,,,,,,,,,,,,,,,,,,
289,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Nikoloz Basilashvili,Christopher Eubanks,20,170,6,4,4,6,7,6,6,3,,,3,1,Completed,,1.23,4.37,,,,,,,,,,,,,,,,,,,,,,
290,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Grigor Dimitrov,Janko Tipsarevic,21,N/A,4,6,6,3,6,1,6,4,,,3,1,Completed,,1.06,10.03,,,,,,,,,,,,,,,,,,,,,,
291,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Roberto Bautista Agut,Andy Murray,24,229,6,4,6,4,6,7,6,7,6,2,3,2,Completed,,1.21,4.54,,,,,,,,,,,,,,,,,,,,,,
292,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Fernando Verdasco,Miomir Kecmanovic,28,125,7,6,6,3,6,3,,,,,3,0,Completed,,1.47,2.75,,,,,,,,,,,,,,,,,,,,,,
293,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Alex de Minaur,Pedro Sousa,29,103,6,4,7,5,6,4,,,,,3,0,Completed,,1.05,11.65,,,,,,,,,,,,,,,,,,,,,,
294,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Gael Monfils,Damir Dzumhur,33,47,6,0,6,4,6,0,,,,,3,0,Completed,,1.54,2.55,,,,,,,,,,,,,,,,,,,,,,
295,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Andreas Seppi,Steve Johnson,35,34,6,4,4,6,6,4,6,3,,,3,1,Completed,,1.84,1.99,,,,,,,,,,,,,,,,,,,,,,
296,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Radu Albot,Michael Mmoh,98,107,3,6,6,3,6,4,6,2,,,3,1,Completed,,2.16,1.72,,,,,,,,,,,,,,,,,,,,,,
297,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Pablo Cuevas,Dusan Lajovic,94,46,6,4,7,5,6,1,,,,,3,0,Completed,,3.23,1.37,,,,,,,,,,,,,,,,,,,,,,
298,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Matthew Ebden,Jan-Lennard Struff,48,51,1,6,6,4,6,3,6,4,,,3,1,Completed,,2.37,1.61,,,,,,,,,,,,,,,,,,,,,,
299,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Daniel Evans,Tatsuma Ito,189,150,7,5,6,1,7,6,,,,,3,0,Completed,,1.33,3.39,,,,,,,,,,,,,,,,,,,,,,
300,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Thomas Fabbiano,Jason Kubler,102,130,6,4,7,6,2,6,6,3,,,3,1,Completed,,2.04,1.81,,,,,,,,,,,,,,,,,,,,,,
301,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Taylor Fritz,Cameron Norrie,50,68,6,3,7,6,6,2,,,,,3,0,Completed,,2.01,1.82,,,,,,,,,,,,,,,,,,,,,,
302,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Robin Haase,Guillermo Garcia-Lopez,58,100,7,5,6,4,7,5,,,,,3,0,Completed,,2.11,1.75,,,,,,,,,,,,,,,,,,,,,,
303,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Denis Kudla,Marc Polmans,62,169,5,7,1,6,6,2,6,3,6,2,3,2,Completed,,1.27,3.87,,,,,,,,,,,,,,,,,,,,,,
304,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Henri Laaksonen,Mirza Basic,166,99,6,4,7,6,4,6,6,3,,,3,1,Completed,,1.81,2.03,,,,,,,,,,,,,,,,,,,,,,
305,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Mackenzie McDonald,Andrey Rublev,81,87,6,4,6,4,2,6,6,4,,,3,1,Completed,,3.44,1.33,,,,,,,,,,,,,,,,,,,,,,
306,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,John Millman,Federico Delbonis,37,80,6,3,3,6,7,6,6,2,,,3,1,Completed,,1.25,4.16,,,,,,,,,,,,,,,,,,,,,,
307,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Yoshihito Nishioka,Tennys Sandgren,69,41,6,4,7,6,4,6,6,4,,,3,1,Completed,,1.79,2.06,,,,,,,,,,,,,,,,,,,,,,
308,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Jordan Thompson,Feliciano Lopez,72,66,6,1,7,6,6,3,,,,,3,0,Completed,,1.31,3.55,,,,,,,,,,,,,,,,,,,,,,
309,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Frances Tiafoe,Prajnesh Gunneswaran,39,109,7,6,6,3,6,3,,,,,3,0,Completed,,1.30,3.67,,,,,,,,,,,,,,,,,,,,,,
310,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Stefano Travaglia,Guido Andreozzi,137,77,6,7,6,2,6,3,6,2,,,3,1,Completed,,1.45,2.85,,,,,,,,,,,,,,,,,,,,,,
311,Australian Open,1/14/2019,Grand Slam,Outdoor,Hard,1st Round,5,Viktor Troicki,Roberto Carballes Baena,200,75,6,1,1,6,2,6,6,1,6,4,3,2,Completed,,1.34,3.36,,,,,,,,,,,,,,,,,,,,,,
