5 conf modelling,,,,,,,,,,,1 conf modelling,,,,,,,,,,,,,,
match_index,Pinnacle_Odds,correct_prediction,confidence,Confidence_Player1_Wins,Confidence_Player2_Wins,date,Player1,Player2,,,correct_prediction_1confmodel,confidence,Confidence_Player1_Wins,Confidence_Player2_Wins,,,,,,,,,,,
46642,1.08,1,0.929378072,0.860535252,0.121258585,02/01/2018,Bhambri Y.,Kadhe A.,,,1,0.99082509,0.917430639,0.096504435,,,,,,,,,,,
46643,2.02,0,1.386097178,0.266434622,0.741228437,02/01/2018,Monteiro T.,Bemelmans R.,,,0,1.272203684,0.472882807,0.680322826,,,,,,,,,,,
46644,1.81,1,1.254375705,0.693025251,0.387991418,02/01/2018,Edmund K.,Shapovalov D.,,,1,0.945037953,0.522120416,0.296120077,,,,,,,,,,,
46645,1.1,1,0.985723529,0.896112299,0.113212578,03/01/2018,Anderson K.,Monteiro T.,,,1,1.039923608,0.945385098,0.162780508,,,,,,,,,,,
46646,2.86,0,1.209365781,0.359426413,0.817139041,03/01/2018,Ojeda Lara R.,Ivashka I.,,,0,1.337320027,0.101460136,0.903594613,,,,,,,,,,,
46647,1.09,1,0.839008788,0.769732833,0.217265175,03/01/2018,Cilic M.,Ramanathan R.,,,1,0.946190655,0.868064821,0.117677666,,,,,,,,,,,
46648,1.38,1,1.017317309,0.737186456,0.238489193,03/01/2018,Kukushkin M.,Djere L.,,,1,1.224092935,0.887023866,0.241014332,,,,,,,,,,,
46649,2.38,1,1.273843524,0.535228372,0.32990859,03/01/2018,Herbert P.H.,Bhambri Y.,,,0,0.757199612,0.45773533,0.458908856,,,,,,,,,,,
46650,1.36,1,0.839933998,0.617598528,0.39425261,03/01/2018,Haase R.,Jarry N.,,,1,0.95017138,0.698655427,0.496623635,,,,,,,,,,,
46651,2.2,1,1.169040279,0.531381945,0.372479965,03/01/2018,Paire B.,Fucsovics M.,,,0,0.444074333,0.209586844,0.253756762,,,,,,,,,,,
46652,2.7,0,1.222677397,0.210533732,0.799135554,03/01/2018,Mmoh M.,Zverev M.,,,0,1.184192807,0.205861479,0.773982227,,,,,,,,,,,
46653,3.85,0,0.888658577,0.302169004,0.678365326,03/01/2018,Simon G.,Bautista Agut R.,,,0,0.654044744,0.169904336,0.499270797,,,,,,,,,,,
46654,3.05,0,1.230719123,0.161183092,0.860642743,03/01/2018,Tsitsipas S.,Gasquet R.,,,0,1.094521478,0.12659359,0.765399635,,,,,,,,,,,
46655,4.83,0,0.855235619,0.151878501,0.701012802,03/01/2018,De Minaur A.,Raonic M.,,,0,0.949857432,0.087481067,0.778571665,,,,,,,,,,,
46656,1.36,1,0.880391527,0.647346711,0.354040486,03/01/2018,Dolgopolov O.,Zeballos H.,,,1,1.00654017,0.740103066,0.571121514,,,,,,,,,,,
46657,1.65,0,1.240586744,0.362736396,0.521254934,03/01/2018,Monfils G.,Struff J.L.,,,0,0.526057138,0.220248282,0.221032411,,,,,,,,,,,
46658,1.47,0,1.445647255,0.377064129,0.496785998,03/01/2018,Pella G.,Travaglia S.,,,0,1.183972642,0.322975338,0.406863451,,,,,,,,,,,
46659,1.3,1,1.135421468,0.873401129,0.116184258,03/01/2018,Thiem D.,Bedene A.,,,1,1.155518371,0.888860285,0.063534431,,,,,,,,,,,
46660,1.6,1,1.470455685,0.919034803,0.200021508,03/01/2018,Gojowczyk P.,Berrettini M.,,,1,1.492193985,0.932621241,0.281716764,,,,,,,,,,,
46661,2.29,1,1.344979111,0.587327123,0.269514725,03/01/2018,Rublev A.,Verdasco F.,,,1,1.935214132,0.845071673,0.202724293,,,,,,,,,,,
46662,2.87,1,1.727253884,0.601830622,0.51273345,03/01/2018,Basic M.,Lopez F.,,,0,0.829573472,0.354087502,0.560522616,,,,,,,,,,,
46663,1.51,1,1.31062185,0.86796149,0.113882198,03/01/2018,Coric B.,Basilashvili N.,,,1,1.408731849,0.932934999,0.057259571,,,,,,,,,,,
46664,1.18,1,1.057726707,0.896378565,0.152626358,03/01/2018,Kyrgios N.,Ebden M.,,,1,1.129812771,0.95746845,0.09528362,,,,,,,,,,,
46665,1.98,1,1.184338711,0.598150864,0.290015087,04/01/2018,Istomin D.,Donaldson J.,,,1,1.061157171,0.535937965,0.365991741,,,,,,,,,,,
46666,1.34,1,0.943016793,0.703743875,0.234981966,04/01/2018,Harrison R.,Hanfmann Y.,,,1,1.050280906,0.783791721,0.198671415,,,,,,,,,,,
46667,2.11,1,1.319986605,0.625586069,0.297804388,04/01/2018,Edmund K.,Chung H.,,,1,1.231424894,0.583613694,0.46047473,,,,,,,,,,,
46668,1.2,1,1.070762429,0.892302024,0.138384499,04/01/2018,Dimitrov G.,Millman J.,,,1,0.977189469,0.814324558,0.100842066,,,,,,,,,,,
46669,1.22,1,1.03738219,0.85031327,0.13921053,04/01/2018,Anderson K.,Kukushkin M.,,,1,1.039313978,0.851896703,0.105159305,,,,,,,,,,,
46670,2.23,0,1.124169254,0.275970301,0.642382431,04/01/2018,Paire B.,Haase R.,,,0,1.190113187,0.293106049,0.680064678,,,,,,,,,,,
46671,1.54,1,1.282073359,0.832515168,0.183072084,04/01/2018,Pella G.,Basic M.,,,1,1.172346692,0.761264086,0.250606388,,,,,,,,,,,
46672,1.53,1,1.138642493,0.74421078,0.195180404,04/01/2018,Monfils G.,Gojowczyk P.,,,1,1.131534017,0.739564717,0.198294476,,,,,,,,,,,
