match_index,Player1 Odds,Player2 Odds,correct_prediction,confidence,Confidence_Player1_Wins,Confidence_Player2_Wins,date,Player1,Player2
29287,1.16,5.47,0,4.846322783470154,0.5587296724319458,0.8859822273254394,2019-01-15,Coric B.,Darcis S.
29266,4.9,1.19,1,3.4068230676651003,0.6952700138092041,0.46026976108551027,2019-01-15,Harris L.,Medvedev D.
29270,4.02,1.26,1,3.218319479227066,0.8005769848823547,0.4180575281381607,2019-01-15,Fratangelo B.,Simon G.
29291,3.73,1.29,1,2.765887117385864,0.7415246963500977,0.3550478875637054,2019-01-15,Daniel T.,Kokkinakis T.
29267,2.38,1.6,1,2.162317365884781,0.9085367083549499,0.385715115070343,2019-01-15,Granollers M.,Copil M.
29282,1.46,2.77,0,1.9665408207476138,0.36635567620396614,0.7099425345659256,2019-01-15,Chung H.,Klahn B.
29277,1.6,2.38,0,1.780509167909622,0.4938514083623886,0.7481130957603455,2019-01-15,Chardy J.,Humbert U.
29281,1.77,2.09,1,1.6570853919982909,0.9362064361572265,0.19520513862371444,2019-01-15,Krajinovic F.,Cecchinato M.
29288,2.1,1.76,0,1.5122739734649655,0.2711814552545547,0.859246575832367,2019-01-15,Kyrgios N.,Raonic M.
29293,1.49,2.68,0,1.4593108195066455,0.23078344110399485,0.5445189625024796,2019-01-15,Ivashka I.,Jaziri M.
29271,2.38,1.6,0,1.4236291122436522,0.060356490314006805,0.8897681951522827,2019-01-15,Vesely J.,Harrison R.
29278,2.23,1.67,0,1.4124889769554136,0.06432217136025428,0.8458017826080322,2019-01-15,Pella G.,Sousa J.
29279,2.07,1.78,1,1.3829980416297911,0.6681149959564209,0.2550813123583794,2019-01-15,Jarry N.,Mayer L.
29265,1.73,2.14,1,1.3049894826412198,0.7543291807174682,0.13566768020391465,2019-01-15,Djere L.,Donskoy E.
29273,1.69,2.2,0,1.2693584537506104,0.23535155802965163,0.5769811153411866,2019-01-15,Karlovic I.,Hurkacz H.
29295,1.29,3.68,1,1.211462086558342,0.9391178965568543,0.09672747850418091,2019-01-15,Tsonga J.W.,Klizan M.
29269,1.47,2.75,1,1.178497013926506,0.801698648929596,0.3331368178129196,2019-01-15,Popyrin A.,Zverev M.
29268,4.37,1.22,0,1.1777021112442017,0.03519723676145077,0.9653295993804931,2019-01-15,Ramos-Vinolas A.,Fucsovics M.
29283,1.13,6.17,1,1.076994838833809,0.9530927777290344,0.06834874898195267,2019-01-15,Zverev A.,Bedene A.
29272,1.32,3.48,1,1.0603053224086763,0.8032616078853607,0.7711185812950134,2019-01-15,Marterer M.,Sakharov G.
29286,1.04,12.28,1,1.0054638900756836,0.9667922019958496,0.03675411753356457,2019-01-15,Kohlschreiber P.,Li Z.
29285,14.75,1.03,0,0.9902556130886078,0.03789536003023386,0.9614132165908813,2019-01-15,Majchrzak K.,Nishikori K.
29284,1.01,24.13,1,0.9732867770195007,0.9636502742767334,0.048852790147066116,2019-01-15,Djokovic N.,Krueger M.
29289,3.85,1.28,0,0.9387489700317383,0.43722449615597725,0.7333976328372955,2019-01-15,Paire B.,Thiem D.
29292,1.27,3.86,1,0.9091997420787812,0.7159053087234497,0.46977365016937256,2019-01-15,Wawrinka S.,Gulbis E.
29298,1.12,6.51,1,0.8967041015625001,0.800628662109375,0.06909232288599014,2019-01-16,Cilic M.,McDonald M.
29304,15.33,1.03,0,0.868975150346756,0.0705349788069725,0.8436651945114135,2019-01-16,Evans D.,Federer R.
29280,4.44,1.22,0,0.8466250615119935,0.2533138573169708,0.6939549684524536,2019-01-15,Vanni L.,Carreno Busta P.
29302,8.87,1.08,0,0.843030309677124,0.07121148109436035,0.7805836200714111,2019-01-16,Ebden M.,Nadal R.
29290,6.45,1.12,0,0.8293119583129883,0.6223572790622711,0.7404571056365967,2019-01-15,Andujar P.,Shapovalov D.
29297,1.05,10.77,1,0.800822868347168,0.7626884460449219,0.06670384779572487,2019-01-16,de Minaur A.,Laaksonen H.
29275,1.55,2.51,1,0.779389188811183,0.5028317347168922,0.1061113066971302,2019-01-15,Querrey S.,Herbert P.H.
29276,1.17,5.28,1,0.7729535994529724,0.6606441020965577,0.3617119640111923,2019-01-15,Goffin D.,Garin C.
29274,1.52,2.6,1,0.7672922005653382,0.5047975003719329,0.06123599335551262,2019-01-15,Pouille L.,Kukushkin M.
29311,1.15,5.7,1,0.7385831901431084,0.6422462522983551,0.0924114778637886,2019-01-16,Berdych T.,Haase R.
29294,3.19,1.37,0,0.7215758588314056,0.15718959420919418,0.5266977071762085,2019-01-15,Bolt A.,Sock J.
29307,1.12,6.65,1,0.6905091285705567,0.6165260076522827,0.07828575223684311,2019-01-16,Dimitrov G.,Cuevas P.
29308,1.23,4.37,1,0.6682181017398834,0.543266749382019,0.09015950262546539,2019-01-16,Anderson K.,Tiafoe F.
29309,4.34,1.23,0,0.6596659031510353,0.07178236432373523,0.5363137423992157,2019-01-16,Albot R.,Verdasco F.
29301,2.22,1.68,0,0.6567348024845124,0.16880950778722764,0.3909135729074478,2019-01-16,Thompson J.,Seppi A.
29303,1.16,5.42,1,0.6394147295951843,0.5512195944786071,0.06926437243819236,2019-01-16,Tsitsipas S.,Troicki V.
29299,3.95,1.26,0,0.494261024594307,0.06983307301998139,0.39227065443992615,2019-01-16,Nishioka Y.,Khachanov K.
29306,3.14,1.38,1,0.4190746661424637,0.1334632694721222,0.08634137958288193,2019-01-16,Fabbiano T.,Opelka R.
29300,1.61,2.37,1,0.4164442610740662,0.25866103172302246,0.12492627277970314,2019-01-16,Monfils G.,Fritz T.
29305,3.84,1.28,0,0.40012506484985344,0.06304307021200657,0.31259770691394806,2019-01-16,Kudla D.,Schwartzman D.
29310,3.35,1.34,0,0.3885605528950692,0.11866490542888641,0.2899705618619919,2019-01-16,Travaglia S.,Basilashvili N.
29312,1.33,3.39,1,0.2824465270712972,0.21236580982804298,0.09757881611585617,2019-01-16,Bautista Agut R.,Millman J.
29296,1.4,3.03,1,0.174367081746459,0.124547915533185,0.06439942587167025,2019-01-15,Fognini F.,Munar J.
