ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best Of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,WSets,LSets,Comment,PSW,PSL
1,Doha,Qatar ExxonMobil Open,12/31/2018,ATP250,Outdoor,Hard,Round of 32,3,Marterer M.,Gojowczyk P.,74,59,,,6,1,6,4,,,,,,,2,0,Completed,2.11,1.74
1,Doha,Qatar ExxonMobil Open,12/31/2018,ATP250,Outdoor,Hard,Round of 32,3,Rublev A.,Seppi A.,68,37,,,7,5,6,1,,,,,,,2,0,Completed,1.5,2.62
1,Doha,Qatar ExxonMobil Open,12/30/2018,ATP250,Outdoor,Hard,2nd Round Qualifying,3,Marterer M.,Trungelliti M.,74,123,,,4,6,6,4,7,5,,,,,2,1,Completed,1.42,2.81
1,Doha,Qatar ExxonMobil Open,12/30/2018,ATP250,Outdoor,Hard,2nd Round Qualifying,3,Stakhovsky S.,Basic M.,134,87,,,3,6,6,2,6,3,,,,,2,1,Completed,1.93,1.83
1,Doha,Qatar ExxonMobil Open,12/30/2018,ATP250,Outdoor,Hard,2nd Round Qualifying,3,Garcia-Lopez G.,Baghdatis M.,105,124,,,4,6,6,2,6,4,,,,,2,1,Completed,2.03,1.76
1,Doha,Qatar ExxonMobil Open,12/30/2018,ATP250,Outdoor,Hard,2nd Round Qualifying,3,Berankis R.,Lorenzi P.,116,109,,,6,4,7,6,,,,,,,2,0,Completed,1.56,2.4
1,Doha,Qatar ExxonMobil Open,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Marterer M.,Arnaboldi A.,74,176,,,3,6,6,2,6,3,,,,,2,1,Completed,1.25,3.83
1,Doha,Qatar ExxonMobil Open,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Basic M.,Bachinger M.,87,130,,,6,3,6,3,,,,,,,2,0,Completed,1.95,1.8
1,Doha,Qatar ExxonMobil Open,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Garcia-Lopez G.,Ward J.,105,186,,,7,6,6,2,,,,,,,2,0,Completed,1.39,2.85
1,Doha,Qatar ExxonMobil Open,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Lorenzi P.,Al-Mutawa J.,109,0,,,6,1,6,0,,,,,,,2,0,Completed,,
1,Doha,Qatar ExxonMobil Open,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Berankis R.,Novak D.,116,140,,,6,4,6,3,,,,,,,2,0,Completed,1.99,1.79
1,Doha,Qatar ExxonMobil Open,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Trungelliti M.,Shanan Zayed M.,123,0,,,6,0,6,1,,,,,,,2,0,Completed,,
1,Doha,Qatar ExxonMobil Open,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Baghdatis M.,Rosol L.,124,142,,,6,0,7,6,,,,,,,2,0,Completed,1.84,1.93
1,Doha,Qatar ExxonMobil Open,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Stakhovsky S.,Marco Moroni G.,134,226,,,7,6,7,5,,,,,,,2,0,Completed,,
2,Brisbane,Brisbane International,01/03/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Nishikori K.,Dimitrov G.,9,19,,,7,5,7,5,,,,,,,2,0,Completed,1.66,2.27
2,Brisbane,Brisbane International,01/03/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Chardy J.,Uchiyama Y.,40,185,,,6,4,3,6,7,6,,,,,2,1,Completed,1.62,2.35
2,Brisbane,Brisbane International,01/03/2019,ATP250,Outdoor,Hard,Round of 16,3,Tsonga J.W.,Daniel T.,239,77,,,7,6,6,3,,,,,,,2,0,Completed,1.27,3.91
2,Brisbane,Brisbane International,01/02/2019,ATP250,Outdoor,Hard,Round of 16,3,Nishikori K.,Kudla D.,9,63,,,7,5,6,2,,,,,,,2,0,Completed,1.17,5.18
2,Brisbane,Brisbane International,01/02/2019,ATP250,Outdoor,Hard,Round of 16,3,Uchiyama Y.,Edmund K.,185,14,,,7,6,6,4,,,,,,,2,0,Completed,4.32,1.23
2,Brisbane,Brisbane International,01/02/2019,ATP250,Outdoor,Hard,Round of 16,3,Medvedev D.,Murray A.,16,240,,,7,5,6,2,,,,,,,2,0,Completed,1.87,1.94
2,Brisbane,Brisbane International,01/02/2019,ATP250,Outdoor,Hard,Round of 16,3,Raonic M.,Kecmanovic M.,18,131,,,6,3,7,6,,,,,,,2,0,Completed,1.21,4.55
2,Brisbane,Brisbane International,01/02/2019,ATP250,Outdoor,Hard,Round of 16,3,Dimitrov G.,Millman J.,19,38,,,6,3,6,4,,,,,,,2,0,Completed,1.44,2.85
2,Brisbane,Brisbane International,01/02/2019,ATP250,Outdoor,Hard,Round of 16,3,de Minaur A.,Thompson J.,31,72,,,6,4,6,2,,,,,,,2,0,Completed,,
2,Brisbane,Brisbane International,01/02/2019,ATP250,Outdoor,Hard,Round of 16,3,Chardy J.,Kyrgios N.,40,35,,,6,7,6,2,6,3,,,,,2,1,Completed,3.11,1.38
2,Brisbane,Brisbane International,01/01/2019,ATP250,Outdoor,Hard,Round of 32,3,de Minaur A.,Popyrin A.,31,147,,,6,2,6,2,,,,,,,2,0,Completed,,
2,Brisbane,Brisbane International,01/01/2019,ATP250,Outdoor,Hard,Round of 32,3,Kyrgios N.,Harrison R.,35,62,,,7,6,5,7,7,6,,,,,2,1,Completed,1.44,2.82
2,Brisbane,Brisbane International,01/01/2019,ATP250,Outdoor,Hard,Round of 32,3,Chardy J.,Struff J.L.,40,57,,,4,6,6,3,6,4,,,,,2,1,Completed,2.2,1.69
2,Brisbane,Brisbane International,01/01/2019,ATP250,Outdoor,Hard,Round of 32,3,Kudla D.,Fritz T.,63,49,,,7,6,6,7,6,4,,,,,2,1,Completed,2.71,1.47
2,Brisbane,Brisbane International,01/01/2019,ATP250,Outdoor,Hard,Round of 32,3,Murray A.,Duckworth J.,240,234,,,6,3,6,4,,,,,,,2,0,Completed,1.35,3.28
2,Brisbane,Brisbane International,01/01/2019,ATP250,Outdoor,Hard,Round of 32,3,Thompson J.,Bolt A.,72,154,,,6,3,6,0,,,,,,,2,0,Completed,1.36,3.2
2,Brisbane,Brisbane International,01/01/2019,ATP250,Outdoor,Hard,Round of 32,3,Tsonga J.W.,Kokkinakis T.,239,146,,,7,6,6,4,,,,,,,2,0,Completed,2.26,1.65
2,Brisbane,Brisbane International,12/31/2018,ATP250,Outdoor,Hard,Round of 32,3,Raonic M.,Bedene A.,18,67,,,6,0,6,3,,,,,,,2,0,Completed,1.22,4.42
2,Brisbane,Brisbane International,12/31/2018,ATP250,Outdoor,Hard,Round of 32,3,Dimitrov G.,Nishioka Y.,19,75,,,6,3,6,4,,,,,,,2,0,Completed,1.35,3.23
2,Brisbane,Brisbane International,12/31/2018,ATP250,Outdoor,Hard,Round of 32,3,Kecmanovic M.,Mayer L.,131,56,,,6,3,6,1,,,,,,,2,0,Completed,1.64,2.28
2,Brisbane,Brisbane International,12/31/2018,ATP250,Outdoor,Hard,Round of 32,3,Millman J.,Sandgren T.,38,61,,,7,6,6,7,6,0,,,,,2,1,Completed,1.4,2.96
2,Brisbane,Brisbane International,12/31/2018,ATP250,Outdoor,Hard,Round of 32,3,Uchiyama Y.,Humbert U.,185,102,,,6,4,7,6,,,,,,,2,0,Completed,2.74,1.47
2,Brisbane,Brisbane International,12/30/2018,ATP250,Outdoor,Hard,2nd Round Qualifying,3,Kecmanovic M.,Daniel T.,131,77,,,7,5,6,7,6,3,,,,,2,1,Completed,1.62,2.25
2,Brisbane,Brisbane International,12/30/2018,ATP250,Outdoor,Hard,2nd Round Qualifying,3,Kokkinakis T.,Garin C.,146,84,,,6,2,6,4,,,,,,,2,0,Completed,,
2,Brisbane,Brisbane International,12/30/2018,ATP250,Outdoor,Hard,2nd Round Qualifying,3,Humbert U.,Eubanks C.,102,170,,,6,2,6,3,,,,,,,2,0,Completed,1.43,2.79
2,Brisbane,Brisbane International,12/30/2018,ATP250,Outdoor,Hard,2nd Round Qualifying,3,Uchiyama Y.,Polmans M.,185,166,,,6,2,6,2,,,,,,,2,0,Completed,1.84,1.91
2,Brisbane,Brisbane International,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Eubanks C.,Klahn B.,170,76,,,3,6,6,4,7,6,,,,,2,1,Completed,3.19,1.34
2,Brisbane,Brisbane International,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Daniel T.,Smith J.P.,77,193,,,3,6,6,4,6,4,,,,,2,1,Completed,,
2,Brisbane,Brisbane International,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Garin C.,O'Connell C.,84,0,,,6,4,6,4,,,,,,,2,0,Completed,,
2,Brisbane,Brisbane International,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Polmans M.,Opelka R.,166,99,,,6,3,6,7,7,6,,,,,2,1,Completed,2.62,1.47
2,Brisbane,Brisbane International,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Humbert U.,Ellis B.,102,352,,,6,4,6,3,,,,,,,2,0,Completed,1.26,3.83
2,Brisbane,Brisbane International,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Kokkinakis T.,Polansky P.,146,119,,,6,3,6,4,,,,,,,2,0,Completed,1.28,3.65
2,Brisbane,Brisbane International,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Kecmanovic M.,Banes M.,131,297,,,6,2,6,0,,,,,,,2,0,Completed,1.3,3.5
2,Brisbane,Brisbane International,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Uchiyama Y.,Fratangelo B.,185,136,,,7,6,6,4,,,,,,,2,0,Completed,2.41,1.55
3,Pune,Tata Open Maharashtra,01/03/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Anderson K.,Munar J.,6,81,,,6,3,6,3,,,,,,,2,0,Completed,1.3,3.66
3,Pune,Tata Open Maharashtra,01/03/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Simon G.,Paire B.,30,52,,,3,6,7,6,6,4,,,,,2,1,Completed,1.57,2.48
3,Pune,Tata Open Maharashtra,01/03/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Darcis S.,Jaziri M.,2000,45,,,7,5,6,2,,,,,,,2,0,Completed,1.85,2
3,Pune,Tata Open Maharashtra,01/03/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Karlovic I.,Gulbis E.,100,95,,,7,6,7,6,,,,,,,2,0,Completed,2.13,1.74
3,Pune,Tata Open Maharashtra,01/02/2019,ATP250,Outdoor,Hard,Round of 16,3,Anderson K.,Djere L.,6,93,,,7,6,7,6,,,,,,,2,0,Completed,1.33,3.37
3,Pune,Tata Open Maharashtra,01/02/2019,ATP250,Outdoor,Hard,Round of 16,3,Gulbis E.,Chung H.,95,25,,,7,6,6,2,,,,,,,2,0,Completed,3.25,1.35
3,Pune,Tata Open Maharashtra,01/02/2019,ATP250,Outdoor,Hard,Round of 16,3,Simon G.,Ivashka I.,30,91,,,6,7,6,2,6,1,,,,,2,1,Completed,1.45,2.78
3,Pune,Tata Open Maharashtra,01/02/2019,ATP250,Outdoor,Hard,Round of 16,3,Jaziri M.,Ramanathan R.,45,132,,,6,7,7,6,6,3,,,,,2,1,Completed,1.94,1.87
3,Pune,Tata Open Maharashtra,01/02/2019,ATP250,Outdoor,Hard,Round of 16,3,Paire B.,Vesely J.,52,89,,,6,4,6,2,,,,,,,2,0,Completed,1.55,2.48
3,Pune,Tata Open Maharashtra,01/02/2019,ATP250,Outdoor,Hard,Round of 16,3,Munar J.,Bolelli S.,81,141,,,7,5,6,0,,,,,,,2,0,Completed,2.08,1.75
3,Pune,Tata Open Maharashtra,01/02/2019,ATP250,Outdoor,Hard,Round of 16,3,Darcis S.,Mmoh M.,2000,103,,,4,6,7,6,6,2,,,,,2,1,Completed,2.45,1.56
3,Pune,Tata Open Maharashtra,01/02/2019,ATP250,Outdoor,Hard,Round of 16,3,Karlovic I.,Donskoy E.,100,97,,,6,4,7,5,,,,,,,2,0,Completed,1.66,2.24
3,Pune,Tata Open Maharashtra,01/01/2019,ATP250,Outdoor,Hard,Round of 32,3,Paire B.,Monteiro T.,52,120,,,7,6,6,3,,,,,,,2,0,Completed,1.35,3.23
3,Pune,Tata Open Maharashtra,01/01/2019,ATP250,Outdoor,Hard,Round of 32,3,Bolelli S.,Istomin D.,141,92,,,6,4,6,4,,,,,,,2,0,Completed,2.12,1.73
3,Pune,Tata Open Maharashtra,01/01/2019,ATP250,Outdoor,Hard,Round of 32,3,Djere L.,Kadhe A.,93,392,,,7,5,7,6,,,,,,,2,0,Completed,1.25,4
3,Pune,Tata Open Maharashtra,01/01/2019,ATP250,Outdoor,Hard,Round of 32,3,Ivashka I.,Hurkacz H.,91,86,,,6,7,6,2,6,3,,,,,2,1,Completed,2.26,1.64
3,Pune,Tata Open Maharashtra,01/01/2019,ATP250,Outdoor,Hard,Round of 32,3,Karlovic I.,Auger-Aliassime F.,100,108,,,6,4,7,5,,,,,,,2,0,Completed,2.18,1.69
3,Pune,Tata Open Maharashtra,01/01/2019,ATP250,Outdoor,Hard,Round of 32,3,Ramanathan R.,Granollers M.,132,96,,,4,6,6,4,6,3,,,,,2,1,Completed,2.31,1.62
