ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best Of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,WSets,LSets,Comment,PSW,PSL
6,Melbourne,Australian Open,01/14/2019,Grand Slam,Outdoor,Hard,Round,5,Duckworth J.,Nadal R.,238,2,,,,,,,,,,,,,,,,12.21,1.04
6,Melbourne,Australian Open,01/14/2019,Grand Slam,Outdoor,Hard,Round,5,Istomin D.,Federer R.,99,3,,,,,,,,,,,,,,,,16.39,1.02
6,Melbourne,Australian Open,01/14/2019,Grand Slam,Outdoor,Hard,Round,5,de Minaur A.,Sousa P.,29,103,,,,,,,,,,,,,,,,1.06,10.05
6,Melbourne,Australian Open,01/14/2019,Grand Slam,Outdoor,Hard,Round,5,Cilic M.,Tomic B.,7,85,,,,,,,,,,,,,,,,1.27,3.91
6,Melbourne,Australian Open,01/14/2019,Grand Slam,Outdoor,Hard,Round,5,Anderson K.,Mannarino A.,6,41,,,,,,,,,,,,,,,,1.08,8.51
6,Melbourne,Australian Open,01/14/2019,Grand Slam,Outdoor,Hard,Round,5,Edmund K.,Berdych T.,14,57,,,,,,,,,,,,,,,,2.7,1.48
6,Melbourne,Australian Open,01/14/2019,Grand Slam,Outdoor,Hard,Round,5,Bautista Agut R.,Murray A.,23,230,,,,,,,,,,,,,,,,1.22,4.5
6,Melbourne,Australian Open,01/14/2019,Grand Slam,Outdoor,Hard,Round,5,Dimitrov G.,Tipsarevic J.,21,NR,,,,,,,,,,,,,,,,1.06,10.31
6,Melbourne,Australian Open,01/14/2019,Grand Slam,Outdoor,Hard,Round,5,Ebden M.,Struff J.L.,47,58,,,,,,,,,,,,,,,,2.3,1.64
6,Melbourne,Australian Open,01/14/2019,Grand Slam,Outdoor,Hard,Round,5,Tsitsipas S.,Berrettini M.,15,52,,,,,,,,,,,,,,,,1.31,3.51
6,Melbourne,Australian Open,01/14/2019,Grand Slam,Outdoor,Hard,Round,5,Lopez F.,Thompson J.,64,72,,,,,,,,,,,,,,,,3.21,1.36
6,Melbourne,Australian Open,01/14/2019,Grand Slam,Outdoor,Hard,Round,5,Eubanks C.,Basilashvili N.,171,20,,,,,,,,,,,,,,,,3.73,1.29
6,Melbourne,Australian Open,01/14/2019,Grand Slam,Outdoor,Hard,Round,5,Gojowczyk P.,Khachanov K.,60,11,,,,,,,,,,,,,,,,6.56,1.12
6,Melbourne,Australian Open,01/14/2019,Grand Slam,Outdoor,Hard,Round,5,Delbonis F.,Millman J.,77,38,,,,,,,,,,,,,,,,4.41,1.22
6,Melbourne,Australian Open,01/14/2019,Grand Slam,Outdoor,Hard,Round,5,Opelka R.,Isner J.,102,10,,,,,,,,,,,,,,,,3.06,1.39
6,Melbourne,Australian Open,01/14/2019,Grand Slam,Outdoor,Hard,Round,5,Monfils G.,Dzumhur D.,32,46,,,,,,,,,,,,,,,,1.55,2.51
6,Melbourne,Australian Open,01/14/2019,Grand Slam,Outdoor,Hard,Round,5,Mmoh M.,Albot R.,108,96,,,,,,,,,,,,,,,,1.73,2.14
6,Melbourne,Australian Open,01/14/2019,Grand Slam,Outdoor,Hard,Round,5,Rublev A.,McDonald M.,84,79,,,,,,,,,,,,,,,,1.48,2.72
6,Melbourne,Australian Open,01/14/2019,Grand Slam,Outdoor,Hard,Round,5,Basic M.,Laaksonen H.,97,166,,,,,,,,,,,,,,,,2.07,1.78
6,Melbourne,Australian Open,01/14/2019,Grand Slam,Outdoor,Hard,Round,5,Norrie C.,Fritz T.,93,50,,,,,,,,,,,,,,,,1.84,1.99
6,Melbourne,Australian Open,01/14/2019,Grand Slam,Outdoor,Hard,Round,5,Kecmanovic M.,Verdasco F.,126,28,,,,,,,,,,,,,,,,2.62,1.51
6,Melbourne,Australian Open,01/14/2019,Grand Slam,Outdoor,Hard,Round,5,Kubler J.,Fabbiano T.,131,100,,,,,,,,,,,,,,,,1.8,2.04
6,Melbourne,Australian Open,01/14/2019,Grand Slam,Outdoor,Hard,Round,5,Garcia-Lopez G.,Haase R.,101,49,,,,,,,,,,,,,,,,1.88,1.95
6,Melbourne,Australian Open,01/14/2019,Grand Slam,Outdoor,Hard,Round,5,Polmans M.,Kudla D.,170,62,,,,,,,,,,,,,,,,3.8,1.28
6,Melbourne,Australian Open,01/14/2019,Grand Slam,Outdoor,Hard,Round,5,Tiafoe F.,Gunneswaran P.,39,112,,,,,,,,,,,,,,,,1.32,3.48
6,Melbourne,Australian Open,01/14/2019,Grand Slam,Outdoor,Hard,Round,5,Seppi A.,Johnson S.,37,33,,,,,,,,,,,,,,,,1.84,1.99
6,Melbourne,Australian Open,01/14/2019,Grand Slam,Outdoor,Hard,Round,5,Ito T.,Evans D.,151,190,,,,,,,,,,,,,,,,3.31,1.35
6,Melbourne,Australian Open,01/14/2019,Grand Slam,Outdoor,Hard,Round,5,Nishioka Y.,Sandgren T.,75,63,,,,,,,,,,,,,,,,1.79,2.06
